id,timestamp,sentence,gold_standard,classification,confidence,time
0,2019-02-11 11:54:32,Book a reservation for my babies and I,BookRestaurant,BookRestaurant,1.0,0
1,2019-02-11 11:54:32,Book a reservation for a restaurant not far from MA,BookRestaurant,BookRestaurant,1.0,0
2,2019-02-11 11:54:32,I would like to book a restaurant in Tanzania that is within walking distance for my mom and I,BookRestaurant,BookRestaurant,0.81,0
3,2019-02-11 11:54:32,Book a reservation for an oyster bar,BookRestaurant,BookRestaurant,1.0,0
4,2019-02-11 11:54:32,Book a reservation for 6 people for a creole tavern in Montenegro,BookRestaurant,BookRestaurant,1.0,0
5,2019-02-11 11:54:32,I need a table in Sacaton at a gluten free restaurant,BookRestaurant,BookRestaurant,1.0,0
6,2019-02-11 11:54:32,book sot for me and my grandfather nearby West Reading,BookRestaurant,BookRestaurant,0.55,0
7,2019-02-11 11:54:32,Book me and my nieces a reservation for a seafood restaurant in Cle Elum NE on ascension day,BookRestaurant,BookRestaurant,0.91,0
8,2019-02-11 11:54:32,book spot for two at City Tavern,BookRestaurant,BookRestaurant,1.0,0
9,2019-02-11 11:54:32,I want to book a brasserie for 3 people in Netherlands Antilles.,BookRestaurant,BookRestaurant,0.87,0
10,2019-02-11 11:54:32,Book me a reservation for the best bistro,BookRestaurant,BookRestaurant,1.0,0
11,2019-02-11 11:54:32,book the best table in Tanzania for 5 people at a diner,BookRestaurant,BookRestaurant,1.0,0
12,2019-02-11 11:54:32,I want to book a joint in a  spa.,BookRestaurant,BookRestaurant,0.94,0
13,2019-02-11 11:54:32,book a gastropub that serves turkish food for 4 people,BookRestaurant,BookRestaurant,0.99,0
14,2019-02-11 11:54:32,book spot for 7 at an indoor restaurant in MP now,BookRestaurant,BookRestaurant,1.0,0
15,2019-02-11 11:54:32,book a table in Fiji for zero a.m,BookRestaurant,BookRestaurant,1.0,0
16,2019-02-11 11:54:32,I want to book a restaurant for five people in Sri Lanka.,BookRestaurant,BookRestaurant,1.0,0
17,2019-02-11 11:54:32,I need a table for 5 at a highly rated gastropub in Concord MN,BookRestaurant,BookRestaurant,0.97,0
18,2019-02-11 11:54:32,I want to book Oregon Electric Station in North City.,BookRestaurant,BookRestaurant,0.78,0
19,2019-02-11 11:54:32,I need a table for 4; please confirm the reservation.,BookRestaurant,BookRestaurant,1.0,0
20,2019-02-11 11:54:32,Book a popular restaurant for 5 people,BookRestaurant,BookRestaurant,1.0,0
21,2019-02-11 11:54:32,I want to book a joint close by the naomi's hostel for a meal for 8 people.,BookRestaurant,BookRestaurant,0.93,0
22,2019-02-11 11:54:32,I want to eat a delicatessen in thirteen hours that serves eastern european food,BookRestaurant,BookRestaurant,0.55,0
